epoch,train_ats_mae,train_dom_loss,val_ats_mae,val_dom_acc,val_rsg_acc,val_loss
1,4.8315,0.4219,4.1005,0.873,0.9207,0.1848
2,4.8657,0.4163,4.1005,0.873,0.9207,0.1848
3,4.9308,0.4239,4.1005,0.873,0.9207,0.1848
4,4.8303,0.4164,4.1005,0.873,0.9207,0.1848
5,4.8252,0.415,4.1005,0.873,0.9207,0.1848
6,4.8146,0.4155,4.1005,0.873,0.9207,0.1848
7,4.8786,0.4217,4.1005,0.873,0.9207,0.1848
8,4.8285,0.4207,4.1005,0.873,0.9207,0.1848
9,4.8384,0.4244,4.1005,0.873,0.9207,0.1848
10,4.8423,0.4159,4.1005,0.873,0.9207,0.1848
11,4.9074,0.4227,4.1005,0.873,0.9207,0.1848
12,4.8466,0.4186,4.1005,0.873,0.9207,0.1848
13,4.8722,0.4144,4.1005,0.873,0.9207,0.1848
