epoch,train_ats_mae,train_dom_loss,train_rsg_loss,val_ats_mae_100,val_dom_acc,val_rsg_acc
1,0.04186097430508761,0.335592605812209,0.20046261197754314,4.839606468821862,0.8522388059701492,0.6820512820512821
2,0.041375870328573955,0.3372924342751503,0.1959200680965469,4.831484057497177,0.8514925373134329,0.6846153846153846
3,0.040690469688602855,0.32891505332220167,0.19218010788872128,4.825636315286381,0.8514925373134329,0.6897435897435897
4,0.04152239897244033,0.3301292029519876,0.18939728233076278,4.828117722676539,0.8514925373134329,0.6871794871794872
5,0.041276469959744384,0.336195361046564,0.18690626117445175,4.840779944134959,0.8507462686567164,0.6948717948717948
6,0.0407581226456733,0.3331421335893018,0.18696782138376009,4.832065483624366,0.8507462686567164,0.6948717948717948
7,0.041206769219466616,0.33238117996425853,0.18645248778519177,4.834680789262501,0.8507462686567164,0.6948717948717948
8,0.041072829138664974,0.3295859171521096,0.18498381745247613,4.81737592582449,0.8485074626865672,0.6923076923076923
9,0.04144944055449395,0.3286603236837046,0.18096358779640426,4.8255293529313885,0.8485074626865672,0.6897435897435897
10,0.04123522105316321,0.3265152324168455,0.18418107462071237,4.836317388612388,0.85,0.6897435897435897
11,0.04032990731121529,0.32953465169384366,0.18285823751773153,4.815408444566736,0.85,0.6923076923076923
12,0.040197179821275526,0.33079971461778596,0.18126190978856313,4.821923529400753,0.8492537313432836,0.6948717948717948
13,0.040695129645367464,0.3291230367053123,0.17789010210406211,4.815385801193652,0.8492537313432836,0.6897435897435897
14,0.04109645983470338,0.3291149305800597,0.17810634800365993,4.818004213128962,0.8477611940298507,0.6923076923076923
15,0.04114597818503777,0.3262326846520106,0.17390932415922483,4.820231640583544,0.8485074626865672,0.6923076923076923
16,0.0403628001610438,0.326138306834868,0.17589526868292263,4.800591115665302,0.8477611940298507,0.6871794871794872
17,0.04064043409058026,0.3330015158014638,0.17436819793212982,4.808525566398431,0.85,0.6923076923076923
18,0.04042365457862616,0.33126960340000333,0.17220639494203385,4.820235743738599,0.85,0.6974358974358974
19,0.04035817279169957,0.3290405103848094,0.17491821618307205,4.804982728683237,0.8492537313432836,0.6923076923076923
20,0.04046685459713141,0.3303639978879974,0.1729038002945128,4.811579529439558,0.8485074626865672,0.6897435897435897
21,0.04047016286779018,0.3296145525007021,0.1724468038550445,4.833863695610592,0.8492537313432836,0.6974358974358974
22,0.040386950455251196,0.327900127108608,0.1696096067627271,4.796755896322318,0.8492537313432836,0.6897435897435897
23,0.04051359792550405,0.3267084626924424,0.17000936216541698,4.806159574659235,0.8485074626865672,0.6948717948717948
24,0.0403468724251503,0.32457407333311583,0.16835102257984025,4.816228305221715,0.8485074626865672,0.6948717948717948
25,0.04012451516020866,0.32636107798843156,0.16704819394009454,4.8005820167747455,0.8485074626865672,0.6923076923076923
26,0.039986894732075076,0.32894336121777695,0.16796547894676525,4.817345007952469,0.8485074626865672,0.6974358974358974
27,0.0406408500015026,0.32757483401468823,0.1709301432328565,4.817416601669655,0.8492537313432836,0.7025641025641025
28,0.04022637629615409,0.32227950369318326,0.1686256719487054,4.800082249916978,0.85,0.7
29,0.040266002705764206,0.3303812725203378,0.16320645404713494,4.801818488558059,0.8492537313432836,0.6923076923076923
30,0.03986472204504978,0.32991810451660836,0.16557985682572637,4.800605225710504,0.8485074626865672,0.6923076923076923
